"Value","Designator","Footprint","LCSC Part Number","Digikey Part Number","Comments"
"1nF","C1","C_0402_1005Metric","C129637","",""
"100nF","C2,C5,C6","C_0402_1005Metric","C2169363","",""
"1uF","C3,C4,C7","C_0402_1005Metric","C2169363","",""
"0.5K-1.2W-10PWB","FPC1,FPC2","CONN-SMD_10P-P0.50_0.5K-1.2W-10PWB","C5337033","",""
"Conn_01x04_MountingPin","J2","Molex_Pico-EZmate_78171-0004_1x04-1MP_P1.20mm_Vertical","C2840019","",""
"XKB-USB-C16PIN","J5","XKB-USB-C-16P","C319148","","4 TH Pads"
"1k","R1","R_0402_1005Metric","C2906899","",""
"5.1k","R2,R3","R_0402_1005Metric","C25941","",""
"MOMENTARY-SWITCH-SPST-SMD-4.6X2.8MM","S1","TACTILE_SWITCH_SMD_4.6X2.8MM","C269272","",""
"ATSAMD21E17D-M","U1","QFN-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm","C614245","",""
"LDK130PU33R_DFN6","U4","DFN-6_1.3x1.2mm_P0.4mm","C5267896","",""
"MA730","U3","QFN-16-1EP_3x3mm_P0.5mm_EP1.45x1.45mm","","",""
"TMC6300-LA-T","U2","QFN40P300X300X90-21N","C5274455","",""
"USBLC6-2P6","U5","SOT-666","C15999","",""
